Instance name,On-Demand hourly rate,vCPU,Memory,Storage,Network performance
a1.medium,$0.03 ,1,2 GiB,EBS Only,Up to 10 Gigabit
a1.large,$0.05 ,2,4 GiB,EBS Only,Up to 10 Gigabit
a1.xlarge,$0.10 ,4,8 GiB,EBS Only,Up to 10 Gigabit
a1.2xlarge,$0.20 ,8,16 GiB,EBS Only,Up to 10 Gigabit
a1.4xlarge,$0.41 ,16,32 GiB,EBS Only,Up to 10 Gigabit
a1.metal,$0.41 ,16,32 GiB,EBS Only,Up to 10 Gigabit
t4g.nano,$0.00 ,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t4g.micro,$0.01 ,2,1 GiB,EBS Only,Up to 5 Gigabit
t4g.small,$0.02 ,2,2 GiB,EBS Only,Up to 5 Gigabit
t4g.medium,$0.03 ,2,4 GiB,EBS Only,Up to 5 Gigabit
t4g.large,$0.07 ,2,8 GiB,EBS Only,Up to 5 Gigabit
t4g.xlarge,$0.13 ,4,16 GiB,EBS Only,Up to 5 Gigabit
t4g.2xlarge,$0.27 ,8,32 GiB,EBS Only,Up to 5 Gigabit
t3.nano,$0.01 ,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.01 ,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.02 ,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.04 ,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.08 ,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.17 ,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.33 ,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.00 ,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.01 ,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.02 ,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.04 ,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.08 ,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.15 ,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.30 ,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.01 ,1,0.5 GiB,EBS Only,Low
t2.micro,$0.01 ,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.02 ,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.05 ,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.09 ,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.19 ,4,16 GiB,EBS Only,Moderate
t2.2xlarge,$0.37 ,8,32 GiB,EBS Only,Moderate
m7g.medium,$0.04 ,1,4 GiB,EBS Only,Up to 12500 Megabit
m7g.large,$0.08 ,2,8 GiB,EBS Only,Up to 12500 Megabit
m7g.xlarge,$0.16 ,4,16 GiB,EBS Only,Up to 12500 Megabit
m7g.2xlarge,$0.33 ,8,32 GiB,EBS Only,Up to 15 Gigabit
m7g.4xlarge,$0.65 ,16,64 GiB,EBS Only,Up to 15 Gigabit
m7g.8xlarge,$1.31 ,32,128 GiB,EBS Only,15 Gigabit
m7g.12xlarge,$1.96 ,48,192 GiB,EBS Only,22500 Megabit
m7g.16xlarge,$2.61 ,64,256 GiB,EBS Only,30 Gigabit
m7g.metal,$2.61 ,64,256 GiB,EBS Only,30 Gigabit
m6a.large,$0.09 ,2,8 GiB,EBS Only,Up to 12500 Megabit
m6a.xlarge,$0.17 ,4,16 GiB,EBS Only,Up to 12500 Megabit
m6a.2xlarge,$0.35 ,8,32 GiB,EBS Only,Up to 12500 Megabit
m6a.4xlarge,$0.69 ,16,64 GiB,EBS Only,Up to 12500 Megabit
m6a.8xlarge,$1.38 ,32,128 GiB,EBS Only,12500 Megabit
m6a.12xlarge,$2.07 ,48,192 GiB,EBS Only,18750 Megabit
m6a.16xlarge,$2.76 ,64,256 GiB,EBS Only,25000 Megabit
m6a.24xlarge,$4.15 ,96,384 GiB,EBS Only,37500 Megabit
m6a.32xlarge,$5.53 ,128,512 GiB,EBS Only,50000 Megabit
m6a.48xlarge,$8.29 ,192,768 GiB,EBS Only,50000 Megabit
m6a.metal,$8.29 ,192,768 GiB,EBS Only,50000 Megabit
m6g.medium,$0.04 ,1,4 GiB,EBS Only,Up to 10 Gigabit
m6g.large,$0.08 ,2,8 GiB,EBS Only,Up to 10 Gigabit
m6g.xlarge,$0.15 ,4,16 GiB,EBS Only,Up to 10 Gigabit
m6g.2xlarge,$0.31 ,8,32 GiB,EBS Only,Up to 10 Gigabit
m6g.4xlarge,$0.62 ,16,64 GiB,EBS Only,Up to 10 Gigabit
m6g.8xlarge,$1.23 ,32,128 GiB,EBS Only,12 Gigabit
m6g.12xlarge,$1.85 ,48,192 GiB,EBS Only,20 Gigabit
m6g.16xlarge,$2.46 ,64,256 GiB,EBS Only,25 Gigabit
m6g.metal,$2.46 ,64,256 GiB,EBS Only,25 Gigabit
m6gd.medium,$0.05 ,1,4 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit
m6gd.large,$0.09 ,2,8 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit
m6gd.xlarge,$0.18 ,4,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit
m6gd.2xlarge,$0.36 ,8,32 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit
m6gd.4xlarge,$0.72 ,16,64 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit
m6gd.8xlarge,$1.45 ,32,128 GiB,1 x 1900 NVMe SSD,12 Gigabit
m6gd.12xlarge,$2.17 ,48,192 GiB,2 x 1425 NVMe SSD,20 Gigabit
m6gd.16xlarge,$2.89 ,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6gd.metal,$2.89 ,64,256 GiB,2 x 1900 NVMe SSD,25 Gigabit
m6i.large,$0.10 ,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.19 ,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.38 ,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$0.77 ,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$1.54 ,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$2.30 ,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$3.07 ,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$4.61 ,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$6.14 ,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$6.14 ,128,512 GiB,EBS Only,50000 Megabit
m6id.large,$0.12 ,2,8 GiB,1 x 118 SSD,Up to 12500 Megabit
m6id.xlarge,$0.24 ,4,16 GiB,1 x 237 SSD,Up to 12500 Megabit
m6id.2xlarge,$0.47 ,8,32 GiB,1 x 474 SSD,Up to 12500 Megabit
m6id.4xlarge,$0.95 ,16,64 GiB,1 x 950 SSD,Up to 12500 Megabit
m6id.8xlarge,$1.90 ,32,128 GiB,1 x 1900 SSD,12500 Megabit
m6id.12xlarge,$2.85 ,48,192 GiB,2 x 1425 SSD,18750 Megabit
m6id.16xlarge,$3.80 ,64,256 GiB,2 x 1900 SSD,25000 Megabit
m6id.24xlarge,$5.70 ,96,384 GiB,4 x 1425 SSD,37500 Megabit
m6id.32xlarge,$7.59 ,128,512 GiB,4 x 1900 SSD,50000 Megabit
m6id.metal,$7.59 ,128,512 GiB,4 x 1900 SSD,50000 Megabit
m6idn.large,$0.16 ,2,8 GiB,1 x 118 SSD,Up to 25000 Megabit
m6idn.xlarge,$0.32 ,4,16 GiB,1 x 237 SSD,Up to 30000 Megabit
m6idn.2xlarge,$0.64 ,8,32 GiB,1 x 474 SSD,Up to 40000 Megabit
m6idn.4xlarge,$1.27 ,16,64 GiB,1 x 950 SSD,Up to 50000 Megabit
m6idn.8xlarge,$2.55 ,32,128 GiB,1 x 1900 SSD,50000 Megabit
m6idn.12xlarge,$3.82 ,48,192 GiB,2 x 1425 SSD,75000 Megabit
m6idn.16xlarge,$5.09 ,64,256 GiB,2 x 1900 SSD,100000 Megabit
m6idn.24xlarge,$7.64 ,96,384 GiB,4 x 1425 SSD,150000 Megabit
m6idn.32xlarge,$10.18 ,128,512 GiB,4 x 1900 SSD,200000 Megabit
m6idn.metal,$10.18 ,128,512 GiB,4 x 1900 SSD,200000 Megabit
m6in.large,$0.14 ,2,8 GiB,EBS Only,Up to 25000 Megabit
m6in.xlarge,$0.28 ,4,16 GiB,EBS Only,Up to 30000 Megabit
m6in.2xlarge,$0.56 ,8,32 GiB,EBS Only,Up to 40000 Megabit
m6in.4xlarge,$1.11 ,16,64 GiB,EBS Only,Up to 50000 Megabit
m6in.8xlarge,$2.23 ,32,128 GiB,EBS Only,50000 Megabit
m6in.12xlarge,$3.34 ,48,192 GiB,EBS Only,75000 Megabit
m6in.16xlarge,$4.46 ,64,256 GiB,EBS Only,100000 Megabit
m6in.24xlarge,$6.68 ,96,384 GiB,EBS Only,150000 Megabit
m6in.32xlarge,$8.91 ,128,512 GiB,EBS Only,200000 Megabit
