n_workers,threads_per_worker,n_files,compute_time_seconds,ec2_type
1,1,1,14,c6i.32xlarge
30,1,1,14,c6i.32xlarge
30,1,10,29,c6i.32xlarge
30,1,100,107,c6i.32xlarge
30,1,1000,966,c6i.32xlarge
32,1,1,29,p2.8xlarge
32,1,10,36,p2.8xlarge
32,1,100,179,p2.8xlarge
32,1,1000,1580,p2.8xlarge
24,1,1,28,r5.12xlarge
24,1,10,36,r5.12xlarge
24,1,100,156,r5.12xlarge
24,1,1000,1421,r5.12xlarge
24,2,1,24,r5.12xlarge
24,2,1,18,r5.12xlarge
24,2,10,27,r5.12xlarge
24,2,10,30,r5.12xlarge
24,2,100,124,r5.12xlarge
24,2,100,130,r5.12xlarge
24,2,1000,1226,r5.12xlarge
48,1,1,18,r5.12xlarge
48,1,10,21,r5.12xlarge
48,1,100,104,r5.12xlarge
48,1,100,120,r5.12xlarge
48,1,1000,881,r5.12xlarge
48,1,1000,840,r5.12xlarge
1,1,1,18,r5n.12xlarge
1,1,10,213,r5n.12xlarge
1,1,50,1477,r5n.12xlarge
1,1,100,3164,r5n.12xlarge
24,2,1,27,r5n.12xlarge
24,2,10,32,r5n.12xlarge
24,2,100,131,r5n.12xlarge
24,2,1000,1041,r5n.12xlarge
48,1,1,29,r5n.12xlarge
48,1,10,33,r5n.12xlarge
48,1,100,100,r5n.12xlarge
48,1,1000,888,r5n.12xlarge
